seed,sample_size,explainer,metric,estimate,ci_low,ci_high,n,prediction_preservation_rate,n_rejected,runtime_ms
23,200,exact_linear,stability_top3_jaccard,0.9543147208121827,0.9314720812182741,0.9746192893401016,197,0.985,3,26.659499999368563
23,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7144799304449592,0.6199952540861309,0.8183379384164461,200,0.985,3,23.99900000091293
23,200,randomized_negative_control,stability_top3_jaccard,0.2766497461928934,0.25025380710659895,0.30456852791878175,197,0.985,3,29.574500000308035
37,50,exact_linear,deletion_fidelity_aopc_at_3,1.7240821369155237,1.4550108263320582,2.007613880575916,50,1.0,0,20.42050000090967
37,50,exact_linear,stability_top3_jaccard,0.91,0.86,0.96,50,1.0,0,20.58729999953357
37,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8864752407058218,0.7025789110404101,1.0931725017247576,50,1.0,0,19.63850000174716
37,50,randomized_negative_control,stability_top3_jaccard,0.27799999999999997,0.22599999999999998,0.33199999999999996,50,1.0,0,20.82710000104271
37,100,exact_linear,deletion_fidelity_aopc_at_3,1.686725880182082,1.481723482734512,1.8933957945715185,100,0.98,2,20.249299999704817
37,100,exact_linear,stability_top3_jaccard,0.9336734693877551,0.8979591836734694,0.9642857142857143,98,0.98,2,20.112000000153785
37,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7446884548798149,0.6199810545979969,0.8842852138590253,100,0.98,2,21.026600001277984
37,100,randomized_negative_control,stability_top3_jaccard,0.23877551020408166,0.20306122448979594,0.2745408163265306,98,0.98,2,23.72749999994994
37,200,exact_linear,deletion_fidelity_aopc_at_3,1.809674228821156,1.6671406844662886,1.9718055214399128,200,0.985,3,24.05420000104641
37,200,exact_linear,stability_top3_jaccard,0.9467005076142132,0.9238578680203046,0.9670050761421319,197,0.985,3,26.95040000071458
37,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7279986775611362,0.6467114283456112,0.8150665514594047,200,0.985,3,25.34659999946598
37,200,randomized_negative_control,stability_top3_jaccard,0.23857868020304568,0.21269035532994923,0.2629441624365482,197,0.985,3,38.39680000055523
41,50,exact_linear,deletion_fidelity_aopc_at_3,1.7481435616328471,1.4695993115288168,2.056270939520785,50,0.98,1,19.400099999984377
41,50,exact_linear,stability_top3_jaccard,0.9387755102040817,0.8979591836734694,0.9795918367346939,49,0.98,1,18.798399998559034
41,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6573789816170817,0.49296570135500595,0.8329519454974018,50,0.98,1,19.717700000910554
41,50,randomized_negative_control,stability_top3_jaccard,0.2693877551020408,0.22653061224489798,0.31224489795918364,49,0.98,1,20.704999998997664
41,100,exact_linear,deletion_fidelity_aopc_at_3,1.6643094688300457,1.4517731598377832,1.8886931146888322,100,0.98,2,22.25429999998596
41,100,exact_linear,stability_top3_jaccard,0.9489795918367347,0.9183673469387755,0.9744897959183674,98,0.98,2,20.43210000010731
41,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7652662779915609,0.6241895452063492,0.915401951078992,100,0.98,2,20.445500000278116
41,100,randomized_negative_control,stability_top3_jaccard,0.2602040816326531,0.22346938775510203,0.2979591836734694,98,0.98,2,24.113199999192148
41,200,exact_linear,deletion_fidelity_aopc_at_3,1.6980082586871033,1.5500299911322752,1.8439284067049913,200,0.985,3,23.12739999979385
41,200,exact_linear,stability_top3_jaccard,0.9543147208121827,0.934010152284264,0.9746192893401016,197,0.985,3,22.122399999716436
41,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7416699931385712,0.6367674945858538,0.8445033917211201,200,0.985,3,24.239100001068437
41,200,randomized_negative_control,stability_top3_jaccard,0.27411167512690354,0.24567258883248735,0.3020431472081218,197,0.985,3,29.26159999879019
53,50,exact_linear,deletion_fidelity_aopc_at_3,2.0423341567058615,1.74682594135515,2.3838450202467096,50,0.96,2,28.057100000296487
53,50,exact_linear,stability_top3_jaccard,0.9375,0.8854166666666666,0.9791666666666666,48,0.96,2,26.37510000022303
53,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.9024096676117641,0.6725172226198773,1.1602956252014012,50,0.96,2,20.348600000943406
53,50,randomized_negative_control,stability_top3_jaccard,0.29791666666666666,0.23328124999999997,0.3687500000000001,48,0.96,2,20.87050000045565
53,100,exact_linear,deletion_fidelity_aopc_at_3,1.8699216661970968,1.653224264608051,2.0877078503710993,100,0.96,4,24.38380000057805
53,100,exact_linear,stability_top3_jaccard,0.9635416666666666,0.9373697916666667,0.9895833333333334,96,0.96,4,21.95700000083889
53,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8779485100059813,0.7281614670740333,1.0542190201843045,100,0.96,4,20.455500000025495
53,100,randomized_negative_control,stability_top3_jaccard,0.278125,0.23645833333333335,0.3219010416666667,96,0.96,4,23.565299999972922
53,200,exact_linear,deletion_fidelity_aopc_at_3,1.8750074833937953,1.7320138073322757,2.024524141717466,200,0.975,5,23.25349999955506
53,200,exact_linear,stability_top3_jaccard,0.958974358974359,0.9384615384615385,0.9769230769230769,195,0.975,5,21.537299999181414
53,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8289410257375492,0.7180448436569952,0.9515380229442452,200,0.975,5,22.888800000146148
53,200,randomized_negative_control,stability_top3_jaccard,0.2733333333333334,0.24051282051282055,0.30257692307692313,195,0.975,5,29.460200001267367
67,50,exact_linear,deletion_fidelity_aopc_at_3,1.6478424661403874,1.3769722897611776,1.9353420527113419,50,0.96,2,20.146500000919332
67,50,exact_linear,stability_top3_jaccard,0.9583333333333334,0.91640625,0.9895833333333334,48,0.96,2,19.235400000980007
67,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8631100962937603,0.6707000860586744,1.0768885951724523,50,0.96,2,19.783600000664592
67,50,randomized_negative_control,stability_top3_jaccard,0.2625,0.20833333333333334,0.325,48,0.96,2,20.68850000068778
67,100,exact_linear,deletion_fidelity_aopc_at_3,1.6477366295220253,1.4694888337771796,1.8413658916365832,100,0.98,2,20.664100000431063
67,100,exact_linear,stability_top3_jaccard,0.9591836734693877,0.9285714285714286,0.9846938775510204,98,0.98,2,19.93620000030205
67,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8117533725719808,0.6793347964096147,0.9452516430612761,100,0.98,2,20.47889999994368
67,100,randomized_negative_control,stability_top3_jaccard,0.26122448979591834,0.22551020408163264,0.3030612244897959,98,0.98,2,24.612700000943732
67,200,exact_linear,deletion_fidelity_aopc_at_3,1.6491784015290147,1.5079272092806744,1.7895628632426832,200,0.985,3,23.511400000643334
67,200,exact_linear,stability_top3_jaccard,0.9467005076142132,0.9213197969543148,0.9670050761421319,197,0.985,3,22.597099999984493
67,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8062615773968238,0.71080870211149,0.8923195171521693,200,0.985,3,24.360299999898416
67,200,randomized_negative_control,stability_top3_jaccard,0.2563451776649746,0.2304568527918782,0.2812182741116751,197,0.985,3,29.663200000868528
71,50,exact_linear,deletion_fidelity_aopc_at_3,1.4988471015474314,1.2513365948913757,1.7482829447002188,50,0.96,2,19.33180000014545
71,50,exact_linear,stability_top3_jaccard,0.9583333333333334,0.9166666666666666,0.9895833333333334,48,0.96,2,18.839400001525064
71,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.5651005797206955,0.43915274444493807,0.713591218299771,50,0.96,2,19.15990000088641
71,50,randomized_negative_control,stability_top3_jaccard,0.29375,0.24578124999999998,0.34375,48,0.96,2,21.370599999499973
71,100,exact_linear,deletion_fidelity_aopc_at_3,1.64500825822549,1.4513220344311322,1.848108303707444,100,0.98,2,20.549400000163587
71,100,exact_linear,stability_top3_jaccard,0.9591836734693877,0.9285714285714286,0.9846938775510204,98,0.98,2,19.603400000050897
71,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.5988499633110261,0.4972471394073336,0.7017945216799193,100,0.98,2,20.752399999764748
71,100,randomized_negative_control,stability_top3_jaccard,0.2724489795918368,0.2336734693877551,0.313265306122449,98,0.98,2,24.67649999925925
71,200,exact_linear,deletion_fidelity_aopc_at_3,1.6852045490638152,1.5479800263663115,1.820935958238117,200,0.99,2,25.232100000721402
71,200,exact_linear,stability_top3_jaccard,0.952020202020202,0.9292929292929293,0.9722222222222222,198,0.99,2,22.154400001454633
71,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6594364706892599,0.5812972796239831,0.7496864007534512,200,0.99,2,23.088200001438963
71,200,randomized_negative_control,stability_top3_jaccard,0.28484848484848485,0.25757575757575757,0.31112373737373744,198,0.99,2,29.149300000426592
83,50,exact_linear,deletion_fidelity_aopc_at_3,1.7465789517394168,1.4861523534690733,2.0329042725543816,50,1.0,0,20.07190000040282
83,50,exact_linear,stability_top3_jaccard,0.92,0.86,0.97,50,1.0,0,19.108300000880263
83,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6505793595154473,0.4880116235958361,0.8187991868997475,50,1.0,0,19.195400000171503
83,50,randomized_negative_control,stability_top3_jaccard,0.256,0.2,0.30804999999999993,50,1.0,0,21.54750000045169
83,100,exact_linear,deletion_fidelity_aopc_at_3,1.7948031019013393,1.604639830290042,1.9990006421757203,100,1.0,0,20.670400001108646
83,100,exact_linear,stability_top3_jaccard,0.94,0.905,0.97,100,1.0,0,19.747199999983422
83,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6478391849484301,0.5401182089020234,0.7704206509355225,100,1.0,0,20.61590000084834
83,100,randomized_negative_control,stability_top3_jaccard,0.262,0.22699999999999998,0.298,100,1.0,0,24.026000000958447
83,200,exact_linear,deletion_fidelity_aopc_at_3,1.8495806237487131,1.6929753403068422,2.0004904178280456,200,0.975,5,23.588699999891105
83,200,exact_linear,stability_top3_jaccard,0.9538461538461539,0.9332692307692307,0.9743589743589743,195,0.975,5,22.734299998774077
83,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7016430344657073,0.619999664413869,0.7828185201832845,200,0.975,5,23.93139999912819
83,200,randomized_negative_control,stability_top3_jaccard,0.2671794871794872,0.24256410256410257,0.2913076923076923,195,0.975,5,29.845200000636396
97,50,exact_linear,deletion_fidelity_aopc_at_3,1.7011165303262823,1.437103455665165,1.9908549989117545,50,0.96,2,21.289800000886316
97,50,exact_linear,stability_top3_jaccard,0.96875,0.9270833333333334,1.0,48,0.96,2,18.657599999642116
97,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8331200866979761,0.6743640105268065,0.9882884752418732,50,0.96,2,24.438499998723273
97,50,randomized_negative_control,stability_top3_jaccard,0.24791666666666665,0.1916145833333333,0.30833333333333335,48,0.96,2,24.500400000761147
97,100,exact_linear,deletion_fidelity_aopc_at_3,1.688559182514566,1.5111377061945632,1.8597439645666995,100,0.97,3,21.498699999938253
97,100,exact_linear,stability_top3_jaccard,0.9742268041237113,0.9484536082474226,0.9948453608247423,97,0.97,3,25.01979999942705
97,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7980546865820556,0.6820654716275737,0.9246843285784665,100,0.97,3,27.471399998830748
97,100,randomized_negative_control,stability_top3_jaccard,0.2701030927835052,0.2288659793814433,0.31340206185567016,97,0.97,3,28.488400001151604
97,200,exact_linear,deletion_fidelity_aopc_at_3,1.7057576122297087,1.5759535490031855,1.8334510531783164,200,0.98,4,27.308599999742
97,200,exact_linear,stability_top3_jaccard,0.9642857142857143,0.9438775510204082,0.9795918367346939,196,0.98,4,23.709700000836165
97,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7676093791851192,0.680469103758721,0.8576152737785259,200,0.98,4,24.098599998978898
97,200,randomized_negative_control,stability_top3_jaccard,0.275,0.2469387755102041,0.30561224489795924,196,0.98,4,31.20149999995192
101,50,exact_linear,deletion_fidelity_aopc_at_3,1.858491067594796,1.599213856192168,2.1397183771716732,50,0.96,2,19.83699999982491
101,50,exact_linear,stability_top3_jaccard,0.9166666666666666,0.8645833333333334,0.96875,48,0.96,2,18.739700000878656
101,50,randomized_negative_control,deletion_fidelity_aopc_at_3,1.0703955698357261,0.8137646081253758,1.3557465472959644,50,0.96,2,19.185200000720215
101,50,randomized_negative_control,stability_top3_jaccard,0.23750000000000002,0.19375,0.2916666666666667,48,0.96,2,21.959699999570148
101,100,exact_linear,deletion_fidelity_aopc_at_3,1.8510506874694943,1.6101912397339806,2.093844453807454,100,0.98,2,21.4559999985795
101,100,exact_linear,stability_top3_jaccard,0.9489795918367347,0.9183673469387755,0.9746173469387754,98,0.98,2,19.763300000704476
101,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.9458678126665861,0.7750928279037882,1.1239771962344138,100,0.98,2,20.685800000137533
101,100,randomized_negative_control,stability_top3_jaccard,0.2285714285714286,0.19487244897959186,0.26326530612244897,98,0.98,2,23.661000001084176
101,200,exact_linear,deletion_fidelity_aopc_at_3,1.8547784945775725,1.7068093739760752,2.0023120456207195,200,0.99,2,23.430799999914598
101,200,exact_linear,stability_top3_jaccard,0.9570707070707071,0.9368686868686869,0.9747474747474747,198,0.99,2,23.216400000819704
101,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8309977068518247,0.7250947294699313,0.9473413891978963,200,0.99,2,24.440999999569613
101,200,randomized_negative_control,stability_top3_jaccard,0.247979797979798,0.2222222222222222,0.27527777777777773,198,0.99,2,29.80589999970107
